,Name,Character Names
0,Godfather,"{""Lou - Sollozzo's Driver"", ""Luca Brasi's Assassin"", 'G.I.', 'Willi Cicci', 'Crowd', ""Sonny's Bodyguard"", 'Michael Francis Rizzi', 'Luca Brasi', 'Sollozzo', 'Extra in Wedding Scene', 'Don Victor Stracci', 'Pallbearer', 'Anthony Vito Corleone', 'Usher in Bridal Party', 'Clemenza', 'Vitelli - Sicilian Sequence', 'Jack Woltz', 'Connie', 'Rocco Lampone', 'Don Vito Corleone', 'Floral Designer', 'Capt. McCluskey', 'Sandra Corleone', 'Enzo the Baker', 'Moe Greene', 'Fruit Vendor', 'Boy at Wedding', ""Tom Hagen's Son"", 'Elena - Matron', 'Tom Hagen', 'Cuneo', 'Calo - Sicilian Sequence', 'Carlo', 'Boy on Street Who Attended Funeral', 'Sonny Corleone', 'Drunk', 'Mama Corleone', ""Cowboy on the Set at Woltz's Studio"", 'Mobster at Funeral with Barzini', 'Cop Outside Hospital', 'Nazorine', 'Night Nurse', 'Don Tommasino - Sicilian Sequence', 'Fredo', 'Street Extra', 'Lucy Mancini', 'Neri', 'Philip Tattaglia', 'Don Zaluchi', 'Baptism Observer', 'Bruno Tattaglia', 'Bonasera', 'Piano Player in Montage', 'Barzini', ""Sonny's Killer #1"", 'Michael Corleone', 'Wedding Party Guest', 'Theresa Hagen', 'Paulie Gatto', ""Clemenza's Son"", 'Policeman', 'Tony - Stablehand', 'Corleone Family Member', 'Extra in Hospital Scene', 'Kay Adams', 'Tessio', 'Fabrizio - Sicilian Sequence', 'Extra in Furniture-Moving Scene', 'Narrator of Theatrical Trailer', 'Johnny Fontane', 'Singer', 'Wedding Guest', 'Priest at Baptism', 'Apollonia - Sicilian Sequence', 'Mrs. Clemenza', 'Dancer in Wedding Scene', 'Toll Both Collector'}"
1,Shawshank Redemption,"{""Andy Dufresne's Wife"", 'Laundry Bob', 'Fat Ass', 'Floyd', 'Ballin Mundson', '1954 Food-Way Manager', 'Captain Hadley', 'Guard Trout', 'Bogs Diamond', 'Bank Teller', 'Hungry Fish Con', 'Duty Guard', 'Bank Manager', 'Head Bull Haig', 'Police Officer', 'Convict', 'Warden Norton', 'Heywood', 'Yard Inmate', 'Brooks Hatlen', '1957 Parole Hearings Man', '1946 D.A.', 'Ned Grimes', 'Andy Dufresne', 'Old Man on Bus', 'Traffic', 'Fresh Fish Con', 'Laundry Truck Driver', 'New Fish Guard', 'Laundry Leonard', 'Man Missing Guard', 'Tyrell', '1967 Parole Hearings Man', '1946 Judge', 'Projectionist', '1967 Food-Way Manager', 'Ernie', 'Snooze', 'Guard Dekins', 'Guard Wiley', 'Moresby Batter', '1954 Landlady', 'Mail Caller', 'Guard Mert', 'Gilda Mundson Farrell', '1947 Parole Hearings Man', 'Bugle Editor', 'New Fish Con', 'Hole Guard', 'Pete', 'Elderly Hole Guard', 'Inmate II', ""Ellis Boyd 'Red' Redding"", 'Tommy', 'Elmo Blatch', '1957 Parole Hearings Guard', 'Jigger', '1954 Food-Way Woman', 'Glenn Quentin', 'Con', 'Bullhorn Tower Guard', 'Inmate', 'Guard Youngblood', 'Skeet', '1966 D.A.', 'Rooster', ""Robin - Andy's Waitress""}"
2,Schindler's List,"{'Majola', 'Gestapo Clerk Klaus Tauber', 'Wilhelm Kunde', 'Black Marketeer', 'Amon Goeth', 'Ghetto Man', 'Diana Reiter', ""Goeth's Girl"", 'Clerk at Depot', 'Dieter Reeder', 'Depot Master', 'Itzhak Stern', 'Josef Liepold', 'Pankiewicz', 'Gestapo', 'Bosch', 'Mrs. Nussbaum', 'Rolf Czurda', 'Clara Sternberg', 'Border Guard', ""Nightclub Maitre d'"", 'Poldek Pfefferberg', 'Old Jewish Woman', 'Julius Madritsch', 'SS Waffen Man', 'Club Singer', 'Albert Hujar', 'Ingrid', 'Brinnlitz Priest', 'SS Waffen Officer', 'Prisoner at Depot', 'Mr. Nussbaum', 'Ghetto Old Man', 'Dolek Horowitz', ""Toffel's Secretary"", 'Plaszow Jewish Girl', 'Young Worker', 'Dancer', 'SS Guard Zablocie', 'Oskar Schindler', 'SS Sgt. Kunder', 'Montelupich Prisoner', 'Mila Pfefferberg', 'Wilek Chilowicz', 'Lisiek', 'Garage Mechanic', 'Chaim Nowak', 'Young Woman', 'Leo Rosner', 'Herman Toffel', 'Rabbi Menasha Levartov', 'Dr. Josef Mengele', 'SS NCO Zablocie', ""Czurda's Girl"", 'Polish Girl', 'SS NCO - Ghetto', 'Investigator', 'Henry Rosner', 'Helen Hirsch', 'Man in Pharmacy', 'Chaja Dresner', 'DEF SS Officer', 'DEF Guard', 'Red Genia', 'Gestapo Brinnlitz', ""Scherner's Secretary"", 'Nuisa Horowitz', 'Juda Dresner', 'Grun', 'Leo John', 'Chicken Boy', 'Rudolph Hoss', 'Investor', 'Russian Officer', 'Engineer Man', 'Rebecca Tannenbaum', 'Woman', 'Emilie Schindler', 'Frantic Woman', 'Boy', 'Irrational Woman', 'DEF Foreman', 'Brinnlitz Guard', 'Manci Rosner', 'Mordecai Wulkan', 'Josef Bau', 'Ghetto Doctor', 'Little Jewish Boy', 'SS Bureaucrat', 'Ukrainian Guard', 'Waiter', 'Regina Perlman', 'Brinnlitz Man', 'Treblinka Commandant', 'Danka Dresner', 'German Clerk', 'Plaszow Depot SS Guard', 'NCO Plaszow', 'Mr. Löwenstein', 'Plaszow SS Guard', ""Czurda's Secretary"", 'Ghetto Woman', 'Doorman', 'Self - Schindler Mourner', 'Marcel Goldberg', 'Wiktoria Klonowska', 'Jewish Boy', 'Mietek Pemper', 'Brinnlitz Girl', 'Stable Boy', 'Dr. Blancke', 'Montelupich Colonel', 'Auschwitz Guard', 'O.D.', 'Maria Mischel', 'Worker in Factory', 'Ghetto Girl', 'Julian Scherner', 'German Girl'}"
3,Raging Bull,"{'Heckler in Bar', 'Charlie - Man with Como', 'Sailor at Ballroom', 'Girl #1', 'Musician #1', ""J.R.'s Friend"", 'Underage I.D. Girl', 'Soda Fountain Clerk #2', 'Ring Announcer - First Robinson Fight', 'Cornerman #1 - Cerdan Fight', 'Ricky', 'Referee - Third Robinson Fight', 'Boxing Fan', 'Musician #2', ""Emma - Miss 48's"", 'Webster Hall Bouncer', 'Bartender Carlo', 'Soda Fountain Clerk', 'Woman with Vickie - Cerdan Fight', 'Eddie Eagan', 'Ring Announcer - Second Robinson Fight and Dauthuille Fight', 'Audie Murphy', 'Irma', 'Woman in Cab', 'Ring Announcer - Janiro Fight', 'Arresting Deputy #2', 'Reporter', 'Vickie La Motta', 'Man at Webster Hall Table', 'Salvy', 'Girl #2', ""Reporter at Jake's House"", 'Ring announcer - Third Robinson Fight', 'Lenore', ""Dauthuille's Trainer - Dauthuille Fight"", 'Prison Guard #2', 'Bouncer at Copa', 'Trainer - First Robinson Fight', 'Referee - Second Robinson Fight', 'Mall Patron', 'Monsignor', 'State Attorney Bronson', 'Ring Announcer - Cerdan Fight', 'Prison Guard #1', 'Dancer', 'Marcel Cerdan - Cerdan Fight', 'Comedian', 'Photographer', 'Heckler - Fox Fight', 'Tommy Como', 'Referee - Cerdan Fight', 'Johnny', 'Guido', 'Party Dancer', 'Joey', 'Patsy', 'Referee - Reeves Fight', 'Bar Hand', 'Patron at Nightclub', 'Toppy', 'Self - Third Robinson Fight Announcer', 'Sugar Ray Robinson - First Robinson Fight', 'Detroit Promoter', 'New Yorker', 'Woman with I.D. Girl', 'Dauthuille Corner Man - Dauthuille Fight', 'Jackie Curtie', 'Ring Announcer - Reeves Fight', 'Police officer', 'Dr. Pinto', 'Referee - Dauthuille Fight', 'Restaurant Doorman', 'Self - Radio Announcer for Dauthuille Fight', ""Jake's Daughter"", 'Reporter at Phone Booth - Dauthuille Fight', 'Tony Janiro - Janiro Fight', 'Fighting Soldier - Reeves Fight', 'Mario', 'Referee - Fox Fight', 'Barbizon Stagehand', 'Linda', 'Jeweler', 'Man Outside Cab', 'Ring Announcer - Fox Fight', 'Billy Fox - Fox Fight', 'Mrs. Bronson', 'Laurent Dauthuille - Dauthuille Fight', ""Maitre 'D"", 'Jimmy Reeves - Reeves Fight', 'Cornerman #2 - Cerdan Fight', 'Referee - Janiro Fight', 'Jake La Motta', 'Referee - First Robinson Fight', 'Janet', 'Bodyguard', 'Boxing Match Spectator', 'Copa Waiter', 'Cornerman', 'J.R.', 'Arresting Deputy #1', 'Joe Louis - Cerdan Fight', 'Man at Table #1', 'Musician #3', 'Beansy'}"
4,Casablanca,"{'Arab Vendor', 'Berger', ""Gambler at Rick's"", 'Pickpocketed Prosperous Man', 'Overseer', 'Bartender', 'Conspirator', 'Prosperous Tourist', 'Singer with Guitar', 'Police Officer', 'Sascha', 'Wife of Pickpocketed Englishman', 'Emile - Waiter', ""Emil - Croupier at Rick's"", ""Bouncer at Rick's"", 'Orderly', 'Muezzini', ""Oriental at Rick's"", 'Man Turning Propeller at Airport', 'Merchant', 'News Vendor', 'Singing Frenchman', ""Mrs. Leuchtag - Carl's Immigrating Friend"", 'Abdul', 'French Police Officer', 'Major Heinrich Strasser', 'Woman Selling Her Diamonds', 'Gendarme', ""Baccarat Player at Rick's"", ""Refugee at Rick's"", 'Rick Blaine', ""Guest at Rick's"", 'Bar Patron', 'Arab', 'French Soldier', 'Woman Companion', ""Englishman Questioning Casino's Honesty"", 'Elderly Admirer', 'American', 'Woman on Street', 'Native Introducing Ferrari', 'Englishwoman', ""Dealer at Rick's"", 'Man on Street', 'Signor Ferrari', 'Annina Brandel', ""Second Contact Man at Rick's"", 'Native Officer', 'German Banker Refused by Rick', 'Fydor', 'Arab Guest with Fez', ""Paul - Waiter at Rick's"", 'Sam', 'Man with Expired Papers', ""Cashier at Rick's"", 'Victor Laszlo', 'Gambler', 'Captain Louis Renault', 'Commuter at Train Station', 'Ugarte', 'Customer', 'Haggling Arab Monkey Seller', 'Concierge', 'Pickpocketed Englishman', 'Carl', 'Frenchman', 'Dutch Banker at Cafe Table', ""Patron at Rick's Cafe"", ""Col. Heinz - Strasser's Aide"", ""Waiter at Rick's"", 'Moroccan', 'German Officer with Yvonne', ""Rick's Friend"", 'Pickpocket', 'Lt. Casselle', 'Mr. Leuchtag', 'Policeman', ""Baccarat Dealer at Rick's"", 'Officer', 'Moor Buying Diamonds', 'Waiter', 'Yvonne', 'Croupier', 'Moroccan Boy', 'German Officer', 'Jan Brandel', 'Woman Customer', 'French Officer Insulting Yvonne', 'Narrator', 'Singer', 'Waiter at the Blue Parrot', 'Italian Officer Tonelli', 'Vendor', 'Ilsa Lund', ""Headwaiter at Rick's"", 'Refugee'}"
5,Citizen Kane,"{'Man Singing at Inquirer Party', 'Jedediah Leland', 'Newsreel Man', 'Raymond', 'Orchestra Leader', ""Drummer on 'It Can't Be Love' at Beach Party"", 'Joseph', 'Man on Roof', 'Nurse on Hospital Roof', 'Portuguese Laborer', 'Woman in Front of Chronicle Building', 'Fish Driver', 'Reporter at Boat Deck', 'Newspaper Man', 'Reporter at Xanadu', 'Senate Investigator', ""Pianist in 'El Rancho'"", 'Reporter', 'Train Passenger', 'Dancing Girl', 'Butler', 'Walter Parks Thatcher', 'Man in Inquirer City Room', 'Opera Spectator', 'Opera Singer', 'Nurse', 'Flotsam', 'Civic Leader', 'Jetsam', 'Woman in Loggia Scene', 'Mr. Bernstein', 'Best Man at Wedding', 'Gino', 'General in News on the March', 'Adolf Hitler', 'Newspaperman at Trenton Town Hall', ""Susan's Maid"", 'Person in Front of Chronicle Building', 'Stage Manager', 'Newsman', 'Matiste', 'Neville Chamberlain', 'Maid in Xanadu Hall', 'Ms. Townsend', 'Dancer', 'Gorilla Man', 'Newspaperman', 'Emily Monroe Norton Kane', 'Man at Xanadu Great Hall', 'Guest', 'Newswoman', 'Photographer', 'Hermann Goring', 'Man in Newsreel', 'Extra', 'Smather', 'Kane - Age Eight', 'Mr. Rawlston', 'Man at Madison Square Garden', 'Jennings', 'Woman at Boat Dock', 'Man at Opera', ""Leland's Nurse"", 'Copy Boy', 'Inquirer Reporter', 'Passerby', 'Entertainer', 'Newsboy', 'Speaker', 'Miss Anderson', 'City Editor', 'Man in Senate Investigating Committee', 'Screening Room Reporter', 'Shadowgraph Man', 'French Maid', 'Car-Driver', 'Interviewer in 1935 Newsreel', 'Boss Printer', 'Susan Alexander Kane', 'Politician', 'Man on Hospital Roof', 'Dr. Corey', 'Man at Party in Everglades', 'Stagehand', 'Man at Boat Dock', 'Herbert Carter', 'Big Governess', 'Druggist', 'Chorus Master', 'The Headwaiter', 'Servant', 'Ethel', ""Singer performing 'It Can't Be Love' at Beach Party"", 'Secretary', 'City Room Employee', 'Man', 'Expressman', 'Reporter at Wedding', 'Jerry Thompson', 'Prompter', 'Georgia', 'Man in Projection Room', 'Woman at Boat Deck', 'Waiter at Inquirer Party', 'James W. Gettys', 'Solly', 'Kane III', 'Mary Kane', 'Hillman', 'Ward Heeler', 'Teddy Roosevelt', 'Wedding Guest', 'Hireling', 'Woman at Opera', 'Pipe-smoking Reporter', 'Woman in Projection Room', 'Kane', ""Kane's Father"", 'House Maid', 'Copy Boy Delivering Message in Chicago Hotel Room'}"
6,Gone with  Wind,"{'Scarlett - Their Daughter', 'Returning Veteran', 'Beau Wilkes', 'Yankee Soldier in Shantytown', 'Bartender', 'Boy in Band', 'Housemaid at Twelve Oaks', 'Jewel Collector at Bazaar', 'Dr. Meade', 'Bandleader', 'Yankee Major', 'Maybelle Merriwether', 'Bonnie Blue Butler - Age 2', 'Mrs. Merriwether', 'Atlanta Citizen', 'Elijah', 'Renegade', 'Pork - House Servant', ""Stuart Tarleton - Scarlett's Beau"", 'Minor Role', 'A Carpetbagger Businessman', 'Johnny Gallagher', 'Tom - Yankee Captain', 'Dancer at Altanta Ball', 'Charles Hamilton - Her Brother', 'Commanding Officer During Evacuation', 'Prissy - House Servant', 'Fanny Elsing', 'Girl at Bazaar', 'Soldier', 'Wounded Card Player', 'Southern Dandy', 'Jonas Wilkerson - Field Overseer', ""Thomas Mitchell's white horse"", 'Corporal', ""Tom's Aide"", 'Prison Gang Overseer', 'Youngest Boy in Band', 'John Wilkes', 'Big Sam - Field Foreman', 'Uncle Peter - Her Coachman', 'Drummerboy', 'Townsperson', 'Frank Kennedy - A Guest', 'Dancer - Atlanta Bazaar', 'Cade Calvert', 'Guest at Twelve Oaks Party', 'Carreen - Their Daughter', ""Melanie's Baby"", 'Wounded Soldier in Pain', 'Guest at Twelve Oaks', 'Sergeant at Hospital', ""Bonnie's Nurse in London"", 'Dying Soldier', 'Mounted Officer', 'Yankee on Street', 'Gentleman', 'Man with Stove Pipe Hat in Charge of Convict Workers', 'Carpetbagger Orator', 'Wounded Soldier', 'Rene Picard', 'Suellen - Their Daughter', 'Girl', 'Bearded Confederate on Steps of Tara', 'Emmy Slattery', 'Mammy - House Servant', ""Carpetbagger's Friend"", 'Gentleman at Twelve Oaks Barbecue', 'Undetermined Minor Role', 'Old Levi', 'Hospital Nurse', 'Ellen - His Wife', 'Collapsing Soldier', 'Bonnie Blue Butler', 'Mrs. Meade', 'Bonnie at Six Months', 'Cancan Girl', 'Bonnie Blue Butler as Newborn', 'Yankee Deserter', ""Bandleader's Wife"", 'Lumber Mill Convict', 'Tony Fontaine', ""General's Wife"", 'Minister', ""Brent Tarleton - Scarlett's Beau"", 'Cathleen Calvert', 'Hungry Soldier Holding Beau Wilkes', 'Soldier Aiding Dr. Meade', ""Frank Kennedy's Clerk"", 'Guest at Birthday Party', 'Melanie Hamilton - Their Cousin', 'Rhett Butler - Visitor from Charleston', 'Poker-Playing Captain', 'Phil Meade', 'Convalescent Soldier', 'Reminiscent Soldier', ""Belle's Girl"", 'Party Guest', 'India - His Daughter', ""Gerald O'Hara"", 'Belle Watling', 'Housemaid at Evening Prayers', 'Woman Writing Letter at Atlanta Church Hospital', 'Amputation Case', 'Girl in Blue Dress', 'Boy with Tears When Death Rolls Are Read', ""Aunt 'Pittypat' Hamilton"", 'Rafe Calvert', 'BBQ Guest', ""Melanie's Son"", ""Renegade's Companion"", 'Ashley - His Son', 'New Born Baby Boy'}"
7,One Flew Over  Cuckoo's Nest,"{'Harding', 'R.P. McMurphy', 'Doctor', 'Night Supervisor', 'Washington', 'Hap Arlich', 'Woolsey', 'Beans Garfield', 'Sefelt', 'Martini', 'Chief Bromden', 'Dr. Spivey', 'Actress on TV Screen', 'Ellsworth', 'Captain on Shore', 'Bancini', 'Miller', 'News Commentator', 'Security Guard', 'Nurse Pilbow', 'Ruckley', 'Billy Bibbit', 'Rose', 'Lady on Pier', 'Ellis', 'Fredrickson', 'Cheswick', 'Candy', 'Turkle', 'Woman in Crowd on Pier', 'Warren', 'Nurse Itsu', 'Scanlon', 'Nurse Ratched', 'Col. Matterson', 'Taber', 'Harbor Master'}"
8,Vertigo,"{'Policeman on Rooftop', 'Stenographer', 'Priest', 'Burglar', 'Waiter', 'Capt. Hansen', ""Waiter at Ernie's"", 'Mrs. Elster', 'Car Owner Mistaken for Madeleine', 'Inquest Attorney', 'Patron', 'Nun', ""Scottie's Doctor"", 'Judy Barton', 'Beautician', ""John 'Scottie' Ferguson"", 'Carlotta Valdes', ""Man Walking Past Elster's Office"", 'Older Mistaken Identity', 'Pop Leibel', 'Jury Foreman', ""Marjorie 'Midge' Wood"", 'Woman in Museum Mistaken for Madeleine', 'Madeleine Elster', 'Coroner', ""Elster's Gateman"", ""Matire d' at Ernie's"", ""Ransohoff's Saleslady"", ""Diner at Ernie's"", 'Escort', 'Gavin Elster', ""Woman at Ernie's Mistaken for Madeleine"", ""Ransohoff's Model"", 'Manager of McKittrick Hotel', 'Undetermined Role', 'Nurse', 'Saleswoman', ""Bartender at Ernie's"", 'Salesman', 'San Francisco Flower Vendor', 'Juror'}"
9,Psycho,"{'Marion Crane', 'Policeman on Steps', 'Church Member', 'Sam Loomis', 'Police Guard', 'County Sheriff', 'Man', 'Hardware Store Customer', 'Bob Summerfield', 'Passerby on Sidewalk', 'Sheriff Al Chambers', 'Mechanic', 'Policeman in Hallway Opening Door', 'California Charlie', 'Deputy District Attorney Alan Deats', 'Norman Bates', 'Caroline', 'Police Chief James Mitchell', 'Norma Bates', 'Extra', 'Tom Cassidy', 'Landlady', 'Lila Crane', 'Highway Patrol Officer', 'George Lowery', 'Man Outside Real Estate Office', 'Dr. Fred Richman', 'Mrs. Chambers', 'Det. Milton Arbogast'}"
10,Godfather Part II,"{'Don Tommasino', 'Fredo Corleone', 'Bartender', 'Willi Cicci', ""Pentangeli's Wife"", 'Vito Andolini - as a Boy', 'Crowd', 'Johnny Ola', 'Tony Rosato', ""Michael's Buttonman #3"", 'Cuban Nurse', 'F.B.I. Man #2', 'Minor Role', 'Vaudeville Dancer', 'Merle Johnson', 'Cuban Translator', 'Young Clemenza', 'Questadt', 'Waiter #1', ""Pentangeli's Brother"", 'Rocco Lampone', 'Vito Corleone', 'Don Francesco', 'Sandra Corleone', 'Deanna Corleone', 'Photographer in Court', 'Tom Hagen', 'Carlo', 'Senator #2', 'Hyman Roth', 'Passerby in Coat with Cap Pulled Down', 'Sonny Corleone', 'Fanucci', ""Michael's Bodyguard"", 'Guest', 'Mama Corleone', 'Customs Official', 'Extra', 'Carmine Rosato', 'Midwife', 'Impressario', 'Street Vendor', 'Gianna Hagen', 'Strollo', 'Man Who Greets Vito', 'Genco', ""Tenor in 'Senza Mamma'"", 'Man Guarding Hyman Roth', 'Michael', ""Michael's Buttonman #1"", ""Vito's Uncle"", 'Sonny Corleone - as a Boy', 'Extra in Little Italy', 'Frankie Pentangeli', ""Girl in 'Senza Mamma'"", 'Child on Ship', ""Vito's Mother"", 'Cuban Guerilla with Grenade', 'Anthony Corleone', 'Yolanda', 'Al Neri', 'Mosca', 'Attendant at Brothel', 'Theresa Hagen', 'Senator #1', 'Cuban President', 'Senate Committee Chairman', 'Klingman - Casino Owner', 'Young Mama Corleone', 'Policeman', 'Signor Abbandando', 'Young Hyman Roth', 'Mrs. Marcia Roth', ""Mama Corleone's Body"", 'Father Carmelo', 'Ellis Island Nurse', 'Connie Corleone', 'Sam Roth', 'Sen. Pat Geary', 'Senator #3', 'Ellis Island Doctor', 'Signora Colombo', 'F.B.I. Man #1', 'Tessio', 'Young Tessio', 'Senator with Mustache', ""Michael's Buttonman #2"", 'Governess', 'Senate Hearing Spectator', 'Fred Corngold', 'Sen. Ream', 'Victor Rizzi', 'Signor Roberto', 'Kay'}"
11,On the Waterfront,"{'Big Mac', 'Charley Malloy', 'Jimmy', 'Bit', 'Luke', 'Man', 'Gillette', 'Terry Malloy', 'Bit Part', 'Sidney', 'Truck', 'Jocko', 'Slim', 'Tillio', 'Girlfriend of a Longshoreman', 'Kayo Dugan', 'Dues Collector', 'Moose', 'Tommy Collins', 'Barney', 'Edie Doyle', ""'Pop' Doyle"", 'Father Barry', 'Mrs. Collins', 'Specs', 'Glover', 'Johnny Friendly', ""Johnny's Banker"", 'Cab Driver', 'Longshoreman', 'Mott'}"
